Time,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Fx,Fy,Fz,Mx,My,Mz,Extra 1,Extra 2
s,N,N,N,N,N,N,N,N,N,N,N,Nm,Nm,Nm,N,N
0,0.328064,-1.16828,-0.326647,-1.42212,-0.0662667,-0.579725,1.05046,-0.181362,-0.840214,-1.74877,0.223105,-0.0871176,0.0215509,-0.0531755,0,0
0.1,0.503322,-0.519344,-0.0858852,-0.317819,0.132316,-0.300162,0.241743,-0.218092,-0.0160217,-0.403704,-0.144196,-0.0110111,0.000820706,-0.0518453,0,0
0.2,0.855691,0.139182,1.49264,1.50572,0.3879,-0.242615,-0.133187,-0.025286,0.994873,2.99835,-0.013188,0.0174661,-0.0221525,-0.0415916,0,0
0.3,0.189536,-0.529371,0.293405,-0.420816,0.28098,-0.170571,0.844901,0.295258,-0.339835,-0.127411,1.25057,-0.0592106,0.00294277,-0.0199105,0,0
0.4,0.211116,0.615583,0.865609,-0.278473,0.391606,-0.210026,0.178964,0.0607082,0.826699,0.587136,0.421252,-0.00334031,-0.0145013,0.0575793,0,0
0.5,0.832258,-0.36305,0.38572,0.471279,0.375911,-0.248609,0.00316075,-0.210244,0.469208,0.856999,-0.0797817,0.0192272,-0.0123335,-0.071297,0,0
0.6,-0.109645,-0.143542,0.249917,0.105286,0.11989,-0.0011989,0.166103,0.172206,-0.253187,0.355203,0.457001,-0.012628,-0.00381579,0.00238991,0,0
0.7,-0.210462,9.73881,12.225,4.3845,1.66223,-0.976127,2.78418,5.69523,9.52835,16.6095,9.16552,-0.448116,-0.166482,0.807299,0,0
0.8,-0.22049,15.1476,19.8104,4.72565,2.79835,-2.26048,5.95997,9.28214,14.9271,24.536,15.78,-0.845494,-0.25143,1.33621,0,0
0.9,0.245884,16.0986,20.127,5.66635,2.74789,-2.67912,6.26777,10.5295,16.3445,25.7933,16.8661,-0.961891,-0.290664,1.34535,0,0
1,0.387355,17.916,22.0929,6.85708,3.06451,-3.14941,5.56706,10.9341,18.3034,28.95,16.4163,-0.9537,-0.34743,1.46497,0,0
1.1,-0.106703,17.9521,26.5181,9.00454,3.26396,-2.47225,6.36924,10.8461,17.8454,35.5227,18.007,-0.944356,-0.306391,1.56379,0,0
1.2,0.456892,17.1161,24.2396,7.80291,2.91301,-2.41056,7.0488,11.3867,17.573,32.0425,18.9379,-1.03115,-0.289843,1.451,0,0
1.3,0.360107,14.8043,23.3708,10.6696,2.84053,-1.72283,5.62297,10.191,15.1644,34.0404,16.9317,-0.845036,-0.273942,1.21158,0,0
1.4,-0.496347,18.8365,23.3918,4.3299,3.21034,-2.69296,5.81589,10.1238,18.3402,27.7217,16.457,-0.886781,-0.306335,1.6835,0,0
1.5,-0.0531878,20.7319,26.2047,8.95462,3.69404,-2.31923,4.90145,11.0669,20.6787,35.1593,17.3431,-0.839127,-0.365361,1.71264,0,0
1.6,0.158146,17.9035,22.5037,7.05327,2.98952,-2.20261,4.55311,9.70492,18.0616,29.5569,15.0449,-0.774589,-0.310318,1.48387,0,0
1.7,0.652967,13.1514,19.0495,6.38319,2.3031,-2.03825,6.52204,9.60846,13.8044,25.4327,16.3954,-0.912275,-0.222833,1.09865,0,0
